Feature1,Feature2,Correlation
prior_fights_diff,prior_scheduled_rounds_total_diff,0.985051734307486
last5_avg_td_landed_for_diff,rw_avg_td_landed_for_diff,0.9771216826998684
last5_avg_sig_landed_against_diff,rw_avg_sig_landed_against_diff,0.9722479741057841
b_avg_td_landed_for,b_rw_avg_td_landed_for,0.9679256519519122
a_avg_td_landed_for,a_rw_avg_td_landed_for,0.9679256519519103
a_rw_avg_td_landed_for,a_last3_avg_td_landed_for,0.9639158336862573
b_rw_avg_td_landed_for,b_last3_avg_td_landed_for,0.9639158336862527
a_rw_avg_sig_landed_for,a_last3_avg_sig_landed_for,0.9631926599147282
b_rw_avg_sig_landed_for,b_last3_avg_sig_landed_for,0.9631926599147279
last3_avg_td_landed_for_diff,rw_avg_td_landed_for_diff,0.9576633076114298
b_avg_sig_landed_for,b_rw_avg_sig_landed_for,0.9575880703494343
last3_avg_sig_landed_for_diff,rw_avg_sig_landed_for_diff,0.9508374496584789
b_avg_sig_landed_against,b_rw_avg_sig_landed_against,0.9499094835687538
a_avg_sig_landed_against,a_rw_avg_sig_landed_against,0.9499094835687506
b_avg_sig_attempted_for,b_last5_avg_sig_attempted_for,0.9493209514691903
a_avg_sig_attempted_for,a_last5_avg_sig_attempted_for,0.9493209514691879
b_rw_avg_finish_win_flag,b_last3_avg_finish_win_flag,0.9482591002878151
a_rw_avg_decision_win_flag,a_last3_avg_decision_win_flag,0.9479863651694244
avg_sig_landed_for_diff,rw_avg_sig_landed_for_diff,0.9465618110711944
avg_kd_for_diff,rw_avg_kd_for_diff,0.9465313389415356
b_last3_avg_title_fight_flag,b_last5_avg_title_fight_flag,0.9463561315234087
a_last3_avg_title_fight_flag,a_last5_avg_title_fight_flag,0.9463561315234065
last3_avg_fight_seconds_diff,rw_avg_fight_seconds_diff,0.9462373742247758
avg_ctrl_seconds_against_diff,last5_avg_ctrl_seconds_against_diff,0.9460667468459062
avg_td_landed_against_diff,last5_avg_td_landed_against_diff,0.9459719005901875
last3_avg_finish_loss_flag_diff,rw_avg_finish_loss_flag_diff,0.9456532970392236
avg_sig_attempted_against_diff,rw_avg_sig_attempted_against_diff,0.9453805531991374
last5_avg_loss_flag_diff,last5_avg_win_flag_diff,0.9453362182851028
b_avg_sig_attempted_against,b_last5_avg_sig_attempted_against,0.945048753516074
avg_fight_seconds_diff,rw_avg_fight_seconds_diff,0.9446810809967779
a_avg_kd_for,a_last5_avg_kd_for,0.9434851248754619
last3_avg_decision_loss_flag_diff,rw_avg_decision_loss_flag_diff,0.9424726512485211
b_last3_avg_scheduled_rounds,b_last5_avg_scheduled_rounds,0.9424224614863154
a_last3_avg_sig_attempted_for,a_last5_avg_sig_attempted_for,0.9416188678228654
b_last3_avg_sig_attempted_for,b_last5_avg_sig_attempted_for,0.9416188678228632
last3_avg_kd_for_diff,rw_avg_kd_for_diff,0.9415482301867439
last_fight_loss_flag_diff,last_fight_win_flag_diff,0.9403744589048961
avg_sig_landed_against_diff,rw_avg_sig_landed_against_diff,0.9400821841701428
last3_avg_decision_win_flag_diff,rw_avg_decision_win_flag_diff,0.9379507370471323
