Feature,Importance_Mean,Importance_Std
age_years_diff,0.05151649478392411,0.007314066448973205
overall_diff,0.0357592841579705,0.008922354730115902
avg_sig_landed_against_diff,0.006325986988994803,0.002867576116112672
a_age_years,0.004966517356034431,0.0016278055293370603
b_age_years,0.004162248165863007,0.0014256288004336906
avg_ctrl_seconds_against_diff,0.0039354658059060025,0.0016374029674460298
b_days_since_last_fight,0.0036902339091058702,0.00162765954588334
elo_diff,0.0033785510256228485,0.001567289073941975
b_rw_avg_sig_landed_against,0.0033765917827722684,0.001416354526949289
striking_defense_diff,0.003041316349963245,0.00248762200947735
td_control_interaction_diff,0.0029019652022142777,0.001159222526898844
b_prior_win_rate,0.0026828565434221445,0.0010646776451606198
a_rw_avg_sig_landed_against,0.002644651307835451,0.0017562542851345812
a_days_since_last_fight,0.002438114457334691,0.0017422363170353956
elo_momentum_interaction_diff,0.0022087197735768836,0.0008137734238295899
prior_losses_diff,0.002192392749821866,0.0008894833974475145
experience_big_fight_diff,0.0021376972202425885,0.0016693191431174086
last5_avg_td_landed_for_diff,0.002085614014464136,0.0020898294732116544
last_fight_td_landed_against_diff,0.002061286749069195,0.0008506014282481891
a_rw_avg_finish_loss_flag,0.002001693112363423,0.0006572964524314875
physical_diff,0.0019985909778499787,0.0012419119683395776
b_physical,0.001987325331459,0.0016360975276912262
b_avg_fight_seconds,0.0016924592824436738,0.0007769513056453271
avg_sub_att_against_diff,0.0016691116384740079,0.0012936180865829247
prior_finish_losses_diff,0.0015617614572848604,0.0016448996622340905
last_fight_ctrl_seconds_for_diff,0.0015390668942653802,0.0012822282500794097
avg_fight_seconds_diff,0.0014852693509926906,0.0008059387730472772
prior_fights_diff,0.0014829835676669475,0.0009490950448448671
b_last5_avg_sig_attempted_for,0.001295549334959545,0.0012809194771663448
a_rw_avg_td_landed_for,0.0012865694718942795,0.0010997741890265474
a_grappling_offense,0.001269426096951524,0.0009332698730384968
b_rw_avg_td_landed_for,0.001223220619724863,0.0010758707882096254
rw_avg_sig_landed_against_diff,0.0011984035436172584,0.0010788124651551188
last_fight_title_fight_flag_diff,0.0011639535234942025,0.00058518713507667
a_avg_fight_seconds,0.001115462262941865,0.000743926033997625
a_rw_avg_finish_win_flag,0.0011076252915394344,0.0005909233281583475
a_avg_td_landed_for,0.001071379298803336,0.0017288314434034113
prior_win_rate_diff,0.0010638688678760464,0.0015266556824746666
a_pre_fight_elo,0.0010243574703889295,0.0007653901511288962
b_last_fight_sig_attempted_for,0.0009263953278589199,0.0008510266576160113
prior_scheduled_rounds_total_diff,0.0008841083363334408,0.0007494813508564904
rw_avg_kd_for_diff,0.0008586381792756577,0.0003106288249060782
b_last3_avg_ctrl_seconds_against,0.000831698590079899,0.000542175546666643
a_avg_sig_attempted_against,0.0007838604104776955,0.0017258718614107662
a_last5_avg_kd_for,0.0007559411998566986,0.0006833942947162186
a_rw_avg_scheduled_rounds,0.0006605913811274252,0.001488975280227893
b_prior_fights,0.0006357743050198502,0.00035836474507610456
b_avg_ctrl_seconds_against,0.0006202636324525852,0.000727707445745467
last_fight_fight_seconds_diff,0.0006063856622608407,0.0007465261617572141
striking_offense_diff,0.0005820583968658773,0.0007333240506911464
b_avg_sig_landed_against,0.0005818951266283401,0.0007204913018587941
prior_decision_losses_diff,0.0005730785338006491,0.00026112929540351163
a_last_fight_ctrl_seconds_for,0.0005592005636088674,0.0008485710451905035
a_last3_avg_kd_for,0.0005528330243444198,0.0002844495559292811
b_avg_td_landed_for,0.000546465485079987,0.0008568355488945258
a_experience_big_fight,0.0005320160690568176,0.0012067318775827545
b_last3_avg_td_landed_for,0.0005170768423209774,0.0004966850226910427
b_prior_decision_wins,0.0004894841721750106,0.00027348646922061015
a_striking_defense,0.00048115739006000525,0.0010317872124383832
a_grappling_defense,0.00047707563412119716,0.0007525737177229582
a_last_fight_td_landed_for,0.00047299387818248534,0.0005636874153433074
b_last_fight_ctrl_seconds_against,0.0004703815543816677,0.0011087420130136414
b_last3_avg_sig_attempted_for,0.00046450382582990577,0.0006501411838780784
grappling_offense_diff,0.00044336033006715515,0.0014091536161946134
b_avg_sig_attempted_against,0.00041389005218938436,0.0010883890886014124
b_striking_defense,0.0004120940795762899,0.001157728336070597
b_last3_avg_td_landed_against,0.0004047469188865375,0.000574558242731439
a_avg_sig_landed_against,0.0003902975028633978,0.0008571792974400061
rw_avg_td_landed_for_diff,0.00038139927491690856,0.001057195830245694
a_prior_decision_wins,0.0003730724928018144,0.0002558366997538233
a_last3_avg_td_landed_for,0.00033943882386657057,0.0002039887658386705
a_last3_avg_sig_landed_for,0.00032180563821115893,0.0015478293131646246
last3_avg_ctrl_seconds_against_diff,0.00031315231562096814,0.00014760803384193644
a_prior_win_rate,0.0003030295608928979,0.000778516835955661
last3_avg_td_landed_for_diff,0.000287518888325633,0.0002487203303056506
b_avg_kd_against,0.000286539266900343,0.0005944144448755634
b_grappling_defense,0.0002778043091914058,0.0005886088279077713
b_experience_big_fight,0.0002690693514824982,0.001273151078377874
avg_td_landed_against_diff,0.00026302835269311766,0.0009903958882801986
a_height,0.00024490535632507954,0.0002615133599103184
b_last5_avg_finish_loss_flag,0.00024261957299937336,0.0005095910765823546
b_last5_avg_no_contest_flag,0.0002422930325242693,0.00023499595948357259
last3_avg_kd_for_diff,0.0002373949253977455,8.094219798722968e-05
last5_avg_sig_landed_against_diff,0.00023135392660841674,0.0006892316502611584
prior_no_contests_diff,0.00022155771235539876,0.00019541517286076338
b_last_fight_td_landed_against,0.00020131220289917688,9.832149430382707e-05
last_fight_scheduled_rounds_diff,0.00019869987909837405,0.0005055532074308096
last3_avg_decision_loss_flag_diff,0.0001921690695963744,0.00017904545075122955
b_last3_avg_sig_landed_for,0.00018498517914423325,0.001977779776133213
stance_same,0.0001815565041556703,0.00017960290146106354
days_since_last_fight_diff,0.0001722501006153084,0.0005911000468190941
last_fight_sig_landed_for_diff,0.00016637237206353165,0.0005021977002686807
a_last5_avg_sig_attempted_for,0.0001642498589753553,0.0011985797468517445
b_last_fight_win_flag,0.0001635967780251398,0.00011081058525589265
