fight_id_manual,event_name,fight_date,fighter_a_id,fighter_b_id,fighter_a,fighter_b,division_norm,scheduled_rounds,title_fight,actual_winner,actual_method,actual_round,actual_time,actual_notes
manual_000001,UFC 330,2026-08-15,,,Islam Makhachev,Ian Machado Garry,welterweight,5,1,,,,,
manual_000002,UFC 330,2026-08-15,,,Mackenzie Dern,Gillian Robertson,strawweight,5,1,,,,,
manual_000003,UFC 330,2026-08-15,,,Neil Magny,Ramiz Brahimaj,welterweight,3,0,,,,,
manual_000004,UFC 330,2026-08-15,,,Jalin Turner,Kauê Fernandes,lightweight,3,0,,,,,
manual_000005,UFC 330,2026-08-15,,,Geoff Neal,Chidi Njokuani,welterweight,3,0,,,,,
manual_000006,UFC 330,2026-08-15,,,Mansur Abdul-Malik,Dustin Stoltzfus,middleweight,3,0,,,,,
manual_000007,UFC 330,2026-08-15,,,Jeremiah Wells,Myktybek Orolbai,welterweight,3,0,,,,,
manual_000008,UFC 330,2026-08-15,,,Vicente Luque,Tresean Gore,middleweight,3,0,,,,,
manual_000009,UFC 330,2026-08-15,,,Edson Barboza,Esteban Ribovics,lightweight,3,0,,,,,
manual_000010,UFC 330,2026-08-15,,,Erin Blanchfield,Jasmine Jasudavicius,flyweight,3,0,,,,,
