fight_id,fight_date,a_fighter_name,b_fighter_name,a_prior_fights,b_prior_fights,a_prior_win_rate,b_prior_win_rate,predicted_side,predicted_winner,actual_winner,predicted_correct,chosen_odds,edge,bet_placed,profit_units
0165bd3c26f0c076,2021-01-16,Carlos Felipe,Justin Tafa,4,4,0.5,0.5,a,Carlos Felipe,Carlos Felipe,1,1.5263,-0.1552,0,0.0
0165bd3c26f0c076,2021-01-16,Justin Tafa,Carlos Felipe,5,5,0.4,0.6,b,Carlos Felipe,Carlos Felipe,1,2.55,0.2078,1,1.55
358f816aff469270,2021-01-16,Punahele Soriano,Dusko Todorovic,2,2,1.0,1.0,a,Punahele Soriano,Punahele Soriano,1,2.3,0.5652,1,1.3
358f816aff469270,2021-01-16,Dusko Todorovic,Punahele Soriano,3,3,0.6667,1.0,b,Punahele Soriano,Punahele Soriano,1,1.6289,0.3861,1,0.6289
3d903bc35023f50a,2021-01-16,Jacob Kilburn,Austin Lingo,2,2,0.0,0.0,a,Jacob Kilburn,Austin Lingo,0,1.4348,-0.197,0,0.0
3d903bc35023f50a,2021-01-16,Austin Lingo,Jacob Kilburn,3,3,0.3333,0.0,a,Austin Lingo,Austin Lingo,1,1.4348,-0.3636,0,0.0
3fcd53eb27945231,2021-01-16,David Zawada,Ramazan Emeev,6,10,0.3333,0.8,b,Ramazan Emeev,Ramazan Emeev,1,1.3636,0.0667,1,0.3636
3fcd53eb27945231,2021-01-16,Ramazan Emeev,David Zawada,11,7,0.8182,0.2857,a,Ramazan Emeev,Ramazan Emeev,1,3.1,0.4956,1,2.1
6b0da0b1cda7799f,2021-01-16,Carlos Condit,Matt Brown,34,52,0.4706,0.5769,b,Matt Brown,Carlos Condit,0,1.565,-0.0621,0,0.0
6b0da0b1cda7799f,2021-01-16,Matt Brown,Carlos Condit,53,35,0.566,0.4857,a,Matt Brown,Carlos Condit,0,2.45,0.1579,1,-1.0
