fight_id,fight_date,event_name,a_fighter_name,b_fighter_name,region,source,adding_date,selection,a_odds_decimal,b_odds_decimal,match_type
32a8f38bd1d46e3e,2020-01-18,UFC 246: McGregor vs. Cowboy,Anthony Pettis,Diego Ferreira,us,zewnetrzne,2025-07-27 09:10:07.798897+00:00,latest,3.0,1.454545,id_direct
36032308b7e86fd0,2020-01-18,UFC 246: McGregor vs. Cowboy,Holly Holm,Raquel Pennington,us,zewnetrzne,2025-07-27 09:10:07.798897+00:00,latest,1.8,2.05,id_direct
5868c154789648f0,2020-01-18,UFC 246: McGregor vs. Cowboy,Andre Fili,Sodiq Yusuff,us,zewnetrzne,2025-07-27 09:10:07.798897+00:00,latest,2.25,1.740741,id_direct
63dd38f0dcc2ee88,2020-01-18,UFC 246: McGregor vs. Cowboy,Drew Dober,Nasrat Haqparast,us,zewnetrzne,2025-07-27 09:10:07.798897+00:00,latest,3.9,1.3125,id_direct
702759500d47a059,2020-01-18,UFC 246: McGregor vs. Cowboy,Maurice Greene,Aleksei Oleinik,us,zewnetrzne,2025-07-27 09:10:07.798897+00:00,latest,1.833333,2.1,id_swapped
760b5b16b4931a77,2020-01-18,UFC 246: McGregor vs. Cowboy,Roxanne Modafferi,Maycee Barber,us,zewnetrzne,2025-07-27 09:10:07.798897+00:00,latest,7.55,1.120482,id_direct
96fe84d051847591,2020-01-18,UFC 246: McGregor vs. Cowboy,JJ Aldrich,Sabina Mazo,us,zewnetrzne,2025-07-27 09:10:07.798897+00:00,latest,1.952381,1.952381,id_swapped
eed6c9aff2234b7a,2020-01-18,UFC 246: McGregor vs. Cowboy,Donald Cerrone,Conor McGregor,us,zewnetrzne,2025-07-27 09:10:07.798897+00:00,latest,3.75,1.327869,id_swapped
ff467a5f06a91a0f,2020-01-18,UFC 246: McGregor vs. Cowboy,Askar Askarov,Tim Elliott,us,zewnetrzne,2025-07-27 09:10:07.798897+00:00,latest,1.714286,2.3,id_swapped
037d2f426c916ffc,2020-01-25,UFC Fight Night: Blaydes vs. Dos Santos,Junior Dos Santos,Curtis Blaydes,us,zewnetrzne,2025-07-27 09:10:07.798897+00:00,latest,3.4,1.357143,id_swapped
151c2bd6dfefb4b5,2020-01-25,UFC Fight Night: Blaydes vs. Dos Santos,Lucie Pudilova,Justine Kish,us,zewnetrzne,2025-07-27 09:10:07.798897+00:00,latest,1.588235,2.5,id_swapped
