fight_id,fight_date,a_fighter_name,b_fighter_name,a_odds,b_odds,chosen_side,chosen_prob,chosen_odds,edge,bet_placed
0165bd3c26f0c076,2021-01-16,Carlos Felipe,Justin Tafa,1.526316,2.55,a,0.5,1.5263,-0.1552,0
0165bd3c26f0c076,2021-01-16,Justin Tafa,Carlos Felipe,1.526316,2.55,b,0.6,2.55,0.2078,1
358f816aff469270,2021-01-16,Punahele Soriano,Dusko Todorovic,2.3,1.628931,a,1.0,2.3,0.5652,1
358f816aff469270,2021-01-16,Dusko Todorovic,Punahele Soriano,2.3,1.628931,b,1.0,1.6289,0.3861,1
3d903bc35023f50a,2021-01-16,Jacob Kilburn,Austin Lingo,1.434783,2.8,a,0.5,1.4348,-0.197,0
3d903bc35023f50a,2021-01-16,Austin Lingo,Jacob Kilburn,1.434783,2.8,a,0.3333,1.4348,-0.3636,0
3fcd53eb27945231,2021-01-16,David Zawada,Ramazan Emeev,3.1,1.363636,b,0.8,1.3636,0.0667,1
3fcd53eb27945231,2021-01-16,Ramazan Emeev,David Zawada,3.1,1.363636,a,0.8182,3.1,0.4956,1
6b0da0b1cda7799f,2021-01-16,Carlos Condit,Matt Brown,2.45,1.564972,b,0.5769,1.565,-0.0621,0
6b0da0b1cda7799f,2021-01-16,Matt Brown,Carlos Condit,2.45,1.564972,a,0.566,2.45,0.1579,1
775c1f401815bbd8,2021-01-16,Joaquin Buckley,Alessio Di Chirico,3.15,1.359712,a,0.6667,3.15,0.3492,1
775c1f401815bbd8,2021-01-16,Alessio Di Chirico,Joaquin Buckley,3.15,1.359712,b,0.5714,1.3597,-0.164,0
97c80f69ac312030,2021-01-16,Sarah Moras,Vanessa Melo,1.434783,2.8,a,0.375,1.4348,-0.322,0
97c80f69ac312030,2021-01-16,Vanessa Melo,Sarah Moras,1.434783,2.8,b,0.3529,2.8,-0.0042,0
a4817b7e46028b4a,2021-01-16,Max Holloway,Calvin Kattar,1.617284,2.38,b,0.75,2.38,0.3298,1
a4817b7e46028b4a,2021-01-16,Calvin Kattar,Max Holloway,1.617284,2.38,b,0.7447,2.38,0.3245,1
aeb7ff8ce6e1beac,2021-01-16,Santiago Ponzinibbio,Li Jingliang,1.327869,3.4,a,0.8182,1.3279,0.0651,1
aeb7ff8ce6e1beac,2021-01-16,Li Jingliang,Santiago Ponzinibbio,1.327869,3.4,b,0.7826,3.4,0.4885,1
4f6d3cdf2c77fb57,2021-01-20,Ike Villanueva,Vinicius Moreira,2.1,1.746269,a,0.5,2.1,0.0238,0
4f6d3cdf2c77fb57,2021-01-20,Vinicius Moreira,Ike Villanueva,2.1,1.746269,b,0.2,1.7463,-0.3726,0
57e784028ef2c17d,2021-01-20,Matt Schnell,Tyson Nam,2.05,1.769231,a,0.5714,2.05,0.0836,1
57e784028ef2c17d,2021-01-20,Tyson Nam,Matt Schnell,2.05,1.769231,b,0.6,1.7692,0.0348,1
61bedad39b15db7a,2021-01-20,Michael Chiesa,Neil Magny,1.675676,2.2,b,0.7391,2.2,0.2846,1
61bedad39b15db7a,2021-01-20,Neil Magny,Michael Chiesa,1.675676,2.2,b,0.7241,2.2,0.2696,1
76b61ff4c9760f79,2021-01-20,Dalcha Lungiambula,Markus Perez,2.15,1.699301,a,0.5,2.15,0.0349,1
76b61ff4c9760f79,2021-01-20,Markus Perez,Dalcha Lungiambula,2.15,1.699301,b,0.6,1.6993,0.0115,0
a003e8305d4dbdc8,2021-01-20,Roxanne Modafferi,Viviane Araujo,1.298507,3.6,b,0.75,3.6,0.4722,1
